Sentence,Sentiment
mika stahlberg vp f secure lab said excited proud f secure recognized av comparative product year,positive
madison wi feb prnewswire fiskars announces united state patent trademark office granted trademark registration color orange iconic scissor handle,positive
company existing investment plan coordinated,neutral
ndx component tesla announced recalling model x suv tsla,negative
finnish messaging solution developer tecnomen corporation omx helsinki temv said thursday december received expansion order convergent charging solution latin america,positive
operating profit improved eur mn eur mn,positive
value contract eur mn,neutral
party therefore agreed leave avena deal,neutral
company also supplied mw power generating equipment number project papua new guinea including engine wartsila type lihir gold,neutral
addition fireplace export demand lining stone exceeded level earlier part year continue clearly brisker remainder year,positive
company thetrainline com announces arrival london ipo,positive
flurry analytics spokesperson said measuring window phone data week firm double checked data make sure per cent rise not aberration,neutral
pharmaceutical italy brand new market analysis give clear overview actual situation future outlook pharmaceutical market italy,neutral
swedbank share hardest hit swedish bank ongoing international financial crisis,neutral
growth strongest f secure operator isps mobile operator cable operator business,positive
talvik say relocation application program server continue hp server approved hp supplying tailor made solution elisa,neutral
gunneflo responsible oriola kd pharmaceutical trade business sweden,neutral
samsung currently occupies third place lost ground quarter dropping share overall,negative
last week finnish metal technology group announced plan sell percent technology unit company strategic goal becoming world largest stainless steel maker,positive
second quarter group net profit rose eur million eur million april june,positive
travel expense would reimbursed accordance travel policy company,neutral
pretax profit totalled eur mn compared loss eur mn corresponding period,positive
august finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened eur first half eur corresponding period year earlier,neutral
supreme court upholds million jury award exxonmobil,negative
price kesko share mln euro mln recognize gain mln euro mln disposal included result second quarter,positive
purchase sum eur mn u mn,neutral
purpose action ensure company cost effectiveness year near future,positive
food trade sale amounted eur decline,neutral
long pcln,positive
company expects net sale whole eur mn mn,neutral
apple inc rip roaring rally beginning aapl investorplace aapl http co jrcfcxly,positive
purchase mp snapper nothing else,neutral
upon completion deal panostaja establish new business area within group focus heat treatment metal,neutral
diageo sell ryder cup venue gleneagles hotel ennismore group,positive
master business administration mba,neutral
rt joemccann correleation dollar index spy simply amazing dx find support spy retreat like clockwork,negative
profit tax totaled eur mn,neutral
operating loss totalled eur mn compared profit eur mn second quarter,negative
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale totalled eur mn first half eur mn first half,negative
whitbread buy stake pure food chain,positive
separating side business able faster expand develop tapro retail network,positive
sudden optimism iphone sale e not bad expected give apple aapl lift http co oktcwyib,positive
according company addition normal seasonal fluctuation market situation weakened autumn,neutral
company previous estimate lower revenue year ago eur million,negative
operating loss totalled eur mn compared profit eur mn first half,negative
according scanfil demand telecommunication network product fluctuated significantly third quarter situation expected remain unstable rest year,negative
stock hit profit warning finnish rival rautaruukki oyj omx rtrks,negative
net sale finnish sanoma learning literature finnish medium group sanoma decreased january june totalling eur mn eur mn corresponding period,negative
arto ryymin born replace juhani kaisanlahti worked acting evp healthcare welfare since august,neutral
txrh report q eps versus estimated beating eps quarter last year,positive
megaas aapl mcdonalds big growing success year bigmac apple update improbe iphone ipad,positive
acquisition considerably increase kemira sale market position russian metal industry coating market,positive
remote radio head module available w power ghz ghz tdd frequency band,neutral
finnish forest machinery manufacturer ponsse net sale grew eur mn first quarter eur mn corresponding period,positive
lowering price u competitor show real estate market stabilised returned balance apartment acquiring fair price eye client,positive
satama net profit third quarter rose euro euro period,positive
natural source isoprene tree specie hevea brasiliensis also known rubber tree,neutral
according finnair technical service measure due employment situation,neutral
would huge process,neutral
gpro since tue morning,negative
london afx share rautaruukki corp upgraded hold sell abn amro price target raised eur said dealer,positive
operating profit decreased eur mn eur mn,negative
costanza light aluminum base washable shade come white pistachio orange blue red,neutral
solution installed usa support north american operation customer,neutral
lsc employee move ixonos existing status benefit,neutral
raffle equity ltd became substantial holder archer exploration ltd january million share pc,neutral
finnish bank àland report operating profit fell eur mn third quarter eur mn third quarter,neutral
baird upgrade tesla motor tsla outperform http co faatoqlw,positive
raute said order worth around mln eur supply several plywood production line mill operated russian wood product company sveza group,positive
metso oyj said sold spreader roll manufacturing business related asset town nokia southern finland group finnish investor operate business name finbow oy,neutral
combined value order eur mn,neutral
tekla group net sale approximately million euro operating result million euro,neutral
kai tulonen chief technology officer sysopen digia say using corporate phonebook inside sysopen digia extensively since last fall satisfied result,positive
enclosed affecto call extraordinary general meeting held july th main agenda approve authorization board proposed share issue related component software acquisition elect haakon skaarer affecto board,neutral
earnings per share eps decreased eur eur,negative
july market cap segment updated according average price may,neutral
rec zakaria monday bull stock ticker michael james ent pick sbux gvp nke,positive
group aim increase net sale comparable operating profit,positive
cencorp net sale first quarter estimated eur compared eur first quarter,negative
paper mill central maine town madison soon new owner,neutral
offer million share aimed raise xac million u million expected completed oct outokumpu said,neutral
efore result last quarter showed even faster improvement company managed better source component,positive
company design manufacture market high quality clothing interior decoration textile bag accessory,neutral
cdp established initiative institutional investor however annually published result also interest increasing number customer interest group reporting company,neutral
accordance strategy strengthened local presence establishing representative office south africa october,positive
casino red bell lvs wynn wynn unusual comibinations running red bell,negative
eps quarter came eur eur year ago ahead forecast eur,positive
accordance term condition alma medium option program share subscription price option right eur per share book countervalue eur per share,neutral
company make marketing sale investment initiated even efficient,positive
ebit totalled eur mn compared loss eur mn corresponding period,positive
orion net profit third quarter decreased mln euro mln mln euro mln year earlier,negative
omx helsinki ended pct lower omx helsinki pct bln eur turnover,neutral
basware connectivity service allow company handle purchase pay process online make internal process efficient said ceo ilkka sihvo basware corporation,positive
time profit company increased h reached l,positive
mill capacity produce tonne pulp per year,neutral
operating profit totalled eur mn loss eur mn second quarter,positive
stockoptionexpert mat big trader added april put contract day ago http stks co col,negative
sysopen digia plc press release february ibm finland rewarded distinguished partner company,positive
diluted earnings per share eps rose eur eur,positive
gakrum nice chart show distinctive channel not dip see bottom spy,negative
share subscription period expire september,neutral
enb ca head shoulder bullish reversal setup breakout oil gas pipleline stock uso,positive
severn trent share price rise first half profit inch customer,positive
name company holding acquired citycon oyj,neutral
aldata solution oyj thomas hoyer cfo information aldata solution oyj thomas hoyer cfo tel aldata brief aldata solution one global leader supply chain software retail wholesale logistics company,neutral
easyjet lead britain ftse lower global bond rout resume,negative
production scheduled start end april,neutral
asia earlier japan nikkei index fell percent hong kong hang seng index rose percent,neutral
fiskars year old global business best known orange handled scissors expects derive synergy eur million year consolidating certain part housewares division two compete,positive
every partner allowed buy quantity electricity corresponding share consortium production cost letter intent said,neutral
board established remuneration committee following member sari baldauf chairman tapio hintikka heikki westerlund addition board decided appoint nomination committee later stage,neutral
method utilises waterborne ultra product giving protection wooden surface industrial painting process whereby two layer top coat applied exterior wooden panel board without separate primer,neutral
berkshire seek boost well fargo stake percent,positive
agreement provide switch double converter capacity whilst opening manufacturing location china,positive
due pirkka beer olvi brewery iisalmi moving day hour work shift,neutral
metsaliitto sell million b share neomarkka accounting pct neomarkka equity pct voting right,neutral
huge bridge girder delivered site plant ylivieska finland,neutral
von koskull oversee new unit nordea brings together corporate merchant banking financial institution capital market product division,neutral
thanks multiplying effect wagon performance transport much efficient say development manager juha malkia vr cargo,positive
according notice skandinaviska enskilda banken ab publ helsinki branch august divested total alma medium share ilkka yhtyma oyj kaleva kustannus oy condition agreement made company july fulfilled,neutral
line run fully underground comprise station executed two implementation stage,neutral
finnish supplier bs os va telecom operator tecnotree received expansion order worth total u mn convergent charging next generation messaging solution latin america company announced without specifying operator placed order,positive
q may finnish electrical component maker salcomp oy hel salv said today turned net profit eur first quarter versus loss eurm corresponding period last year,positive
second variant offer complete final finishing selected apartment foreign high quality material finland denmark germany france,neutral
net profit period xac million,neutral
breaking week high timing look great ahs baby post ige irdm ewbc phys ulta vnet biv http co kjzuzmu,positive
repurchase shall decrease distributable capital reserve,neutral
stx move bottom still bear market datasecurity emc sndk wdc http co vkydwpxesn,negative
organization member russian auto sector union mpra become active since tikkurila acquired russian paint company kraski teks,neutral
new share entitle holder dividend fiscal,neutral
ebitda year improved eurm compared eurm,positive
finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,positive
operating profit turnover three month period increased respectively eur eur compared corresponding period,positive
bridge km long located anasmotet road e new traffic junction marieholm road e,neutral
finnish electronics manufacturer pkc group oyj omx helsinki pkcv said wednesday december completed acquisition man nutzfahrzeuge ag cable harness business man star truck bus spolka zoo poland,positive
veidekke headquartered oslo norway scandinavian construction property development group employee norway sweden denmark annual turnover nok bn,neutral
member partner use mostly apparent increased efficiency result service observes perttu puro tradeka,positive
protalix developing genetically engineered protein plant cell,neutral
decision made quickly possible,neutral
cat hangin thread click away cliff drop need follow snap back vix,negative
incident happened p avenue road,neutral
verizon accused hurting rival,negative
chf great product,positive
cet arcelormittal lost eur euronext paris coming lead blue chip faller,neutral
cooperation airbaltic expected lead transfer finncomm ownership airbaltic time,neutral
loaded bsx yesterday looking good still think way upside downside,positive
lemminkainen group headquartered helsinki finland operates sector construction industry civil engineering building contracting technical building service building material industry,neutral
power supply dc power system inverter designed manufactured efore system incorporating used many different application,neutral
pertti ervi independent company major shareholder,neutral
parallel teliasonera decided conduct compulsory acquisition,neutral
cut frequency new york last year explains fall said,neutral
mr ashley deputy executive chairman sport direct sold pc stake company pound time float,neutral
exel composite long term growth prospect remain favourable however,positive
combining existing solution single platform comptel said reduced cost deployment,positive
shell share price standard life announce position bg acquisition,negative
sab chairman dig board divided inbev offer,neutral
company said sale three month end march slid eur u eur last year,negative
trow ascending triangle give bullish bias chart breakout positive http stks co gls,positive
total scope project square metre valued total around eurm,neutral
net interest income increased eur mn eur mn,positive
addition existing service counter area reception hall rebuilt access provided local rail connection,neutral
helsinki afx kci konecranes said raised stake mmh holding inc owner u based morris material handling pct pct,positive
cut bring outdoors birch branch coaster,neutral
consolidated operating profit continuing operation decreased eur mn eur mn,neutral
contract value amount eur million,neutral
net sale finnish food industry company l ñnnen tehtaat continuing operation increased eur mn eur mn,positive
acquisition kaupthing sverige bring significant positive non recurring addition group performance,positive
adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias said today net profit rose eur million usd first nine month eur,positive
renesas mobile europe ltd approximately employee oulu,neutral
self service automation bigger role fujitsu global resource exploited effectively,positive
group ¦ profit tax eur million,neutral
permanent magnet generator power converter today preferred solution new wind turbine design company said,neutral
finnish rautaruukki awarded contract supply install steel superstructure partihallsf ârbindelsen bridge gothenburg sweden,positive
fair value capman plc investment september amounted meur,neutral
update barclays expects gain settling lehman bros trustee,positive
st petersburg oct prime ta finnish tire producer nokian tyre plan invest million euro expansion tire plant city vsevolozhsk russia leningrad region company president kim gran told reporter thursday,positive
nokia also noted average selling price handset declined period though mobile phone profit margin rose percent percent year ago quarter,positive
wpp world largest ad agency report strong growth,positive
q company operating loss totalled eur mn compared profit eur mn q,neutral
finnish lifting equipment maker konecranes hel kcrv said july raised stake austrian manipulator maker ac konecranes bought german sector player knight europe,positive
cash flow investment amounted eurm eurm,neutral
baltimore police fire pension billion lost million madoff ponzi scheme,negative
scanfil plc global contract manufacturer system supplier communication industrial electronics,neutral
finger friendly opinion really fast,neutral
board director proposed extraordinary general meeting authorise board decide issuance maximum mn new share one share issue,neutral
eur h august finnish medium group ilkka yhtyma oyj hel ilk said today net profit fell year eur first half,negative
according sweden minister local government financial market mat odell decision sell state share telecom group teliasonera carried cooperation state finland,neutral
mobile phone shipment jumped percent almost million unit finnish company global market share rose percent percent,positive
according mark white locatrix communication ceo company web service interface allows device owner friend family track locate twig user via web browser,neutral
spy could pride social medium gettin ready fall fb chart rolling,negative
according viking line managing director nil erik eklund company board director satisfied viking line performance,positive
megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,positive
finnair belief strike cause daily net loss excess eur mn due canceled reservation passenger routing,negative
adp news feb finnish wood product technology supplier raute oyj hel rutav said today net profit decreased eur million usd eur million,negative
contract cover turnkey delivery five airport operated authority john f kennedy laguardia newark teterboro stewart international,neutral
total job reduced raahe steel work,neutral
release oct peab said two business continue conducted brand cliffton stockholm entreprenad part peab group,neutral
april finnish construction engineering company outotec oyj hel otev said today slipped net loss eur first quarter net profit eur corresponding period last year,neutral
repair maintenance business accounted net sale eur mn eur mn,positive
stora enso norske skog real upm kymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,positive
valmet automotive report net sale eur mn operating profit eur mn,neutral
profit period eur mn eur mn,positive
sweden oversupply pharmacy,negative
firm build component mobile phone communication product,neutral
capacity ease seikku sawmill pori alholma sawmill pietarsaari result people laid around six week starting mid may said,negative
exel board director propose dividend euro per share annual general meeting april,neutral
announced solution unit speed co operation august shifted simonson finance chief low end phone october,neutral
authorization force period month resolution general meeting,neutral
revenue quarter totaled billion percent billion fourth quarter,neutral
sweden oversupply pharmacy,neutral
roll royce ensure compliance petrobras bribery report,neutral
japan nikkei land financial time billion deal,positive
manager critical politician failure differentiate beleaguered european financial institution skandinavian bank sailed crisis without issue,neutral
plant would use palm oil certified roundtable sustainable palm oil rspo,neutral
depends financing,neutral
finnish publishing printing group ilkka yhtym ñ introduced staff smoking ban beginning company three newspaper,neutral
saving full impact beginning,neutral
ship unloader totally enclosed along entire conveying line storage facility,neutral
entire paper mill may set especially new eu member state,neutral
rapala estimate net sale increase pct pct assuming exchange rate,positive
operating profit net sale six month period increased respectively eur eur compared corresponding period,positive
jukka hienonen current finnair ceo step end january,neutral
price talk euribor plus bps area sole lead citigroup,neutral
property purchased swedish private equity real estate firm niam goldman sachs whitehall street real estate fund,neutral
sunrise resource operates russian near shore development market wholly owned russian subsidiary personnel russia,neutral
fast gww daily sale slowing pretty timely coincident indicator http co mbkhbkzk,negative
result russia import restriction finnish dairy company canceled august,positive
analyst surveyed thomson financial expected revenue million quarter,neutral
october finnish environmental management company lassila tikanoja oyj hel latv l said monday expects operating profit excluding non recurring item whole slightly lower,neutral
total number share company innofactor group innofactor offer customer comprehensive solution microsoft environment,neutral
new unit major investment finnish medium scene,neutral
yahoo stock bidding war pick company http co jdnzxdcmkl yhoo http co hmoegfhgvn,positive
know exists artemyev said,neutral
long endp agn b rumor,positive
kesko pursues strategy healthy focused growth concentrating sale service consumer customer,positive
timberrrr tsla http co mrbgfdhhva,negative
return capital employed rose percentage point,positive
period end cash cash equivalent totaled eur compared eur previous year,negative
special event three county four month hosted library system nine branch library,neutral
eps grew eur eur,positive
net cash flow operation expected remain positive,positive
adp news nov finnish power supply solution provider efore oyj omx efov announced today launch opus dc latest power system opus product line,positive
axp looking continuation volume increase http stks co csr,positive
uponor improved performance spite decrease residential construction u,positive
include software development internet mobile telephone content communication value added software financial service security application system integration electronics,neutral
spy extreme win today cent low year spy percent life bowl cherry great short setting,negative
nokia share hit euro friday percent start year part slow introduction touch screen model,neutral
focus improving profitability next year streamlining operation,positive
time delighted fact able accomplish organization team member,positive
server responsible managing device user account desktop client application enables remote access mobile phone,neutral
earnings per share eps eur loss eur,positive
company transportation business conducted florida rock tank line southeastern transportation company concentrating hauling motor carrier liquid dry bulk commodity,neutral
ipad application join iphone app part monster range mobile application job hunting,neutral
currently global fortune company using ssh security solution,neutral
february finnish medium company sanoma oyj hel saav said yesterday net profit almost tripled eur eur announced proposal raised payout,positive
aberdeen post h outflow say condition remain challenging,negative
aapl downgrade bias stock buy,positive
dnkn kkd dpz loco inside week buy trigger http stks co hvv http stks co rebn,positive
operating profit excluding non recurring item totalled eur mn eur mn corresponding period,negative
ugaz cold put dent massive horizontal rig production know http stks co pvp,negative
amrn full bull call spread ranging july jan let see baby,positive
aapl aapl finally breaking buyback week look aapl test support area,negative
recent interview financial time ft sampo board chairman bjorn wahlroos said p c certainly sale price set sek billion confirming earlier statement,neutral
technopolis approximately customer company jyvaskyla,neutral
crh add cr laurence acquisition tally bn,positive
nordea coordinate syndicated loan,neutral
operating profit totaled eur mn eur mn,positive
value contract eur mn,neutral
real estate company posted net loss ó xa ¼ million ó xa ¼ per share compared net profit ó xa ¼ million ó xa ¼ per share corresponding quarter,neutral
bbcn bancorp buy wilshire bancorp bln deal,positive
cramo slipped pretax loss eur million pretax profit eur million,neutral
stora enso r share rose pct eur upm kymmene also dragged higher rising pct eur real b added pct eur,positive
finnish lifting equipment maker kone oyj said october order worth mln euro mln deliver total custom designed elevator norwegian shipbuilder aker yard asa,positive
adp news feb finnish construction company lemminkainen oyj hel lem said today net profit decreased eur million usd eur million,neutral
swedbank hypotek issue benchmark fixed rate covered deal euro maturing january,neutral
report emailed within business day order,neutral
upm said move lower net profit xac million u million second quarter mainly due impairment charge,neutral
finnish meat company atrium longer promise sufficient amount domestic beef customer,negative
metso said order worth around mln eur supply kraftliner board machine china lee man paper co,positive
adp news feb finnish management software solution provider ixonos oyj hel xnsv said today net profit rose eur million usd eur million,positive
bullya pollux kor call going b blessing daughter tuition,positive
tekla structure product box needed made recycled material,neutral
company report loss period eur mn compared loss eur mn corresponding period,positive
elsewhere tendency towards developed packaging,neutral
according seikku retail sector finland controlled large actor food manufacturer still relatively small,neutral
tesco abandon video streaming ambition blinkbox sale,negative
royal mail share price edge lower group raise stamp price,negative
however broker rating stock differ,neutral
group ebit first half eur u falling short eur posted period,negative
company anticipates turnover whole surpass previous year eur million,positive
finnish financial software solution developer basware oyj said net profit fell euro mln first quarter mln euro mln year earlier,negative
stonegate product family designed provide full benefit unified management system including shared logging reporting auditing,neutral
cash flow operation totalled eur mn compared negative eur mn corresponding period,positive
teliasonera said million invested next year region bring mobile coverage nepal population,positive
see slide show newest product release fiskars,neutral
however increase signaling traffic waste network resource allows fewer smartphones connect,negative
order also include high power drive control seismic compressor,neutral
succeed krister kylas decided leave teliasonera,neutral
payment acquired share made cash price per share eur plus administration fee,neutral
approximately sek million repayment demanded overcharging stockholm area remaining sek million taken western coast inspectorate said,neutral
transaction tikkurila powder coating related operation,neutral
business area net sale slightly,neutral
repayment eur million debenture bond related company previous announcement october collect irrevocable selling commitment holder subordinated debenture bond,neutral
loss financial item totalled eur mn compared profit eur mn corresponding period,negative
tecnotree convergent charging solution includes functionality prepaid post paid billing charging rating voice call video call raw data traffic mobile fixed network,neutral
adpnews jul finland based steel maker rautaruukki oyj ruukki hel rtrks said today slipped net loss eur million usd first half net profit eur,neutral
group expand chain include store,positive
sale tiimari business went eur million gallerix store saw growth eur million,neutral
supported nokia phone include n n gb n n n n n n n n n n n n n n n n e e e e e e e ei e e e touch xpress classic navigator classic navigator xm,neutral
first group customer trained paint shop owner assistant,neutral
arvo vuorenmaa loviisa plant general manager said application new licence standard procedure quite confident approval granted,positive
lay offs affect people total okmetic employee finland,neutral
finnish real kyro mill starting negotiation cut staff,negative
according swedish authority trace toxic osmium tetroxide found coast per ñmeri northernmost part gulf bothnia,neutral
among industrial stock metso added pct eur wartsila b pct eur rautaruukki k pct lower eur,neutral
term not disclosed,neutral
expanded agreement cover sale marketing distribution benefon navigation locator device china,neutral
raute reported loss per share eur first half eps eur corresponding period,negative
salcomp oyj finnish maker mobile phone charger monday posted eur million loss second quarter compared million profit period previous year,negative
astrazeneca chase acerta secure next cancer drug winner,positive
company reportedly searching replacement ceo olli pekka kallasvuo,neutral
total size complex around project constructed stage,neutral
fki john jiang worked several general manager senior business consultant position international company china,neutral
kaupthing bank publish annual result market open thursday january,neutral
city cu welcome dart member dallas city cu welcome member dart fcu merge city cu,neutral
danske bank danske dc jumped percent krone rebounding yesterday percent slide,positive
november finnish sport equipment maker amer sport oyj hel ameas said today obtained eurm schuldschein note loan pool international investor,neutral
held recent double bottom buy point almost penny today wmt http chart ly nospq,positive
first phase completed end,neutral
contract signed august papua new guinea based lihir gold ltd asx lgl,positive
warren buffett defends berkshire hathaway conglomerate structure,positive
short faz know mean market tank p,negative
company issue inaugural eurobond deal near future subject market condition,neutral
passenger ferry dimension length overall length perpendicular breadth design draught,neutral
aviva plc direct line insurance group plc admiral group plc set soar,positive
rapala aim move distribution unit ragot loudeac bretagne distribution unit waterqueen fishing line supplier tortue saint marcel central france morvillars,neutral
project x mw coal fired power plant located km south hanoi company said,neutral
glaston glass processing unit tamglass glass processing manufacturer high quality safety glass product operates finland,neutral
deal strengthens ramirent position especially industrial sector large investment project,positive
mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing home people,neutral
double bottom handle buy point ip http chart ly akvujxh,positive
finnish construction company yit reducing number start ups market financed residential unit previously announced,negative
company said previously eb delivered custom solution lg electronics making commercially available mobile terminal vendor well wireless operator,neutral
lemminkainen infra oy subsidiary lemminkainen sverige ab perform construction work expected start early completed summer,neutral
october finnish paint coating company tikkurila oyj hel tikv announced today launch tikkurila prohouse method protection wooden surface via treatment ultra pro waterborne product,neutral
payment share shall effected subscription,neutral
ocn stuff looking add share get new high breakout,positive
q april finnish forest machinery equipment maker ponsse oyj hel ponv said today expects swing net profit eur first quarter eur loss year earlier,positive
finnish construction company yit oyj said november mln euro mln contract construct new office building local property company tapiola real estate oy,positive
transaction able participate developing industry,positive
result cancellation maximum increase citycon share capital basis convertible bond decreased eur eur,neutral
lee man paper metso long prosperous co operation good example changshu hongmei kraftliner machine delivered earlier,positive
september alone market declined percent year year million liter,neutral
adp news may bank america bofa downgraded today rating swedish finnish paper maker stora enso oyj hel sterv finnish sector player upm kymmene oyj hel upmv underperf,negative
thus group balance sheet eur million goodwill company added,neutral
sanoma magazine net sale estimated grow,positive
meantime ceo duty assumed outotec deputy ceo seppo rantakari,neutral
department store division sale fell eur mn,neutral
kone share dropped percent xac u helsinki,neutral
finnish larox signed contract talvivaara project delivery filter talvivaara nickel mine sotkamo finland,positive
net cash operating activity negative eur mn compared eur mn,negative
coffee served starting eet well event,neutral
pm omx helsinki pct omx helsinki pct lower mln eur turnover,negative
gross area eight house,neutral
example net sale increased first quarter ebitda increased negative eur mn first quarter,positive
acando ab acanb s fell percent kronor lowest close since dec,neutral
also six year historic analysis provided market,neutral
may finnish liquid handling product diagnostic test system maker biohit oyj hel biobv said today may net loss narrowed eur usd first quarter eur period,positive
subject project provide company like software programming consultancy service computer related service data service computer support consultancy service internet service etc,neutral
due postponement decision making project negotiation phase earlier estimation,neutral
profit tax amounted eur mn eur mn year ago,negative
tsla february low amazing rebound,positive
finnish logistics information solution provider done solution corporation omx helsinki dsov reported wednesday october operating profit eur net sale eur period january september,neutral
honkarakenne start production need partner sawmill operation,neutral
yndx price stock time lower annual earnings could not resist buying everyone selling,positive
fiskars cash flow operating activity amounted eurm eurm previous year,positive
stora enso target cut eur eur holmen target sek sek,negative
steel industry accounted percent cargo volume transported whereas energy industry accounted percent industry percent,neutral
renn topping tail min chart short,negative
return investment roi compared first half,negative
company said result third quarter not include non recurring item,neutral
finnish software hardware developer elektrobit oyj hel ebgv eb said today temporarily lay people maximum day finland aiming achieve cost saving eur million usd second half,neutral
operating profit excluding non recurring item amounted eur mn eur mn year year,neutral
part transaction real sappi also signed long term agreement supply pulp bctmp smaller service supply,positive
annual net sale unit eur million currently employ people,neutral
platform based built intel second generation mid platform called moorestown,neutral
proud welcome another distribution facility north mississippi region known logistics center united state said gray swoope executive director mda,positive
mr clausen however refused comment option nordea would consider buying citadele bank,neutral
genvec biopharmaceutical company developing novel therapeutic drug vaccine,neutral
cargo volume grew,positive
estimated synergy benefit least eurm annually,positive
service intended allow people thirteen mediterranean country reach baltic rapidly single carrier,positive
sainsbury sell unit lloydspharmacy,positive
talvivaara also maintains assumption turning cash flow positive year end,positive
harmongreg bbry wkly inverse head shoulder forming trigger po least watching http stks co ipvj,positive
proposal board director make annual general meeting attached whole release,neutral
dug weekly stochastics finally starting turn long consolidation buying,positive
metso estimate need personnel reduction amount people,negative
transaction positive impact around eurm earnings ruukki recognize fourth quarter year,positive
finnish metso supply new wood handling bleaching line well rebuild kraft liner washing line klabin tel ¬maco borba mill brazilian state paran í,positive
market report aviva top market trader approve choice friend,positive
capman haavisto responsible group finance accounting,neutral
race google get lot user onto service social networking creates new business model said martin garner london based analyst cc insight,neutral
airline share price closed slightly xac u helsinki,negative
aapl iphone shipment track exceed forecast marketwatch http co cxahjixd,positive
operating profit net sale month period increased respectively eur eur compared financial year,positive
telenor three half year contract worth estimated yit chosen telenor elisa principal supplier ict solution norway sweden denmark finland,positive
kalmar awarded new year contract supply rough terrain container handler rtch,positive
componenta also offer five year subordinated loan subscription public,neutral
joined rautakirja lead one four business area took position president ceo,neutral
according saarioinen managing director ilkka ñkel ñ food industry sector significant excess production machinery,neutral
member hk ruokatalo group finland scan launching joint venture slaughterhouse team ugglarp sk ñne southern sweden,neutral
result negotiation company decided make people redundant financial production ground,negative
customer come following country uk usa spain france italy germany china hong kong sweden norway netherlands austria belgium switzerland czech republic finland canada russia ukraine denmark ireland south korea liechtenstein,neutral
primark rack happy christmas strong sale,positive
repeat see operating profit reporting helsinki newsroom keywords tecnomen result,neutral
net investment income,neutral
flagship open fall manhattan flatiron district toy building fifth avenue,neutral
c cabot export production mainly goodyear bridgestone michelin plant poland well germany michelin italy pirelli company logistics center paris stefan said,neutral
however production almost entirely labor intensive based small investment,neutral
bg crane strong partner hiab australia many year,neutral
industry coming interesting fork road handset manufacturer wireless carrier attempt serve portal web based service wireless handset wrote,neutral
acquisition àlandsbanken sverige burdened performance eur mn,negative
group operating loss eur mn profit eur mn,negative
according pkc acquisition would bring significant addition pkc customer base,positive
bilfinger industrial service win â£m bp contract extension,positive
sale finalized september october company said,neutral
longed amzn,positive
motorola world second largest maker cell phone unveiled new phone tuesday bid resurrect ailing handset business,neutral
combined foreign investment creates interesting opportunity solteq,positive
diageo receives report united spirit financial irregularity involving,negative
operating profit rose eur mn eur mn,positive
term transaction remained undisclosed,neutral
neste oil offer outplacement service employee reduced,neutral
anheuser busch inbev increase offer rival sabmiller,positive
net sale decreased eur million eur million,negative
neste oil publish third quarter result friday october approximately eet,neutral
share repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,neutral
according ceo matti karppinen frozen food posted good result,positive
think fm challendge ema not distant future look yesterday volume,positive
incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue,positive
finland city forssa said not pay compensation food industry company hk ruokatalo atrium lye leak tap water occurred march,neutral
order machine room le kone monospace elevator would installed,neutral
sale lead pretax capital gain eur million finnish company,positive
order follow mln euro mln deal made july,neutral
soon collision started,neutral
pharmaceutical spain brand new market analysis give clear overview actual situation future outlook pharmaceutical market spain,neutral
finnish forest industry group stora enso oyj issued thursday march profit warning first quarter,negative
group order portfolio decreased eur mn eur mn,neutral
pretax profit jumped eur million eur million,positive
result also burdened increased fixed cost associated operation china restructuring cost japan,neutral
company decided stop operation ruukki construction division latvia lithuania concentrate production logistics parnu estonia,neutral
credit suisse poaches prudential thiam asian push,positive
tesco share price dip blinkbox book close ending supermarket digital,negative
dollar bounced back hitting another record low euro reached first time,neutral
news feedschroders book solid earnings growth several board change,positive
basware business transaction service enables customer receive send invoice electronic format,neutral
majority company personnel finland temporarily laid one six week period february june period,neutral
payment date march,neutral
sbux inverted head shoulder pattern work bullish,positive
annual general meeting approved dividend eur per share total eur million,neutral
one dark spot horizon however company performance finnish bottled water market,negative
could,neutral
commodity channel index indicator signaled oversold fb stockmarket http co vmdmxi http co cvkojkxn,positive
acquisition financed billion debt arranged goldman sachs co,neutral
memorandum understanding cooperation finnish global chemical company kemira vietnam national chemical group vinachem signed occasion,positive
china based operation not enable u fully leverage resource expertise wireless solution also strengthen capability offer industry leading product customer china,positive
company reported net sale eurm employee,neutral
helsinki thomson financial kemira growhow swung profit first quarter earnings improved sale especially fertilizer business europe normally stronger first quarter,positive
fish content nugget fish come canada finland,neutral
ministry water tanzania awarded poyry water sanitation engineering assignment rehabilitation extension water supply sanitation infrastructure bukoba musoma situated lake victoria northern tanzania,positive
company studying feasibility focusing processed meat production vantaa facility processing fresh meat forssa facility,neutral
initial estimated total value eur final award value eur,neutral
bank tokyo mitsubishi ufj ltd acted agent loan,neutral
shop located capital region paijat hame region,neutral
gps gap september comparable store sale,negative
